theme,model,sample_idx,chunk_idx,n_notes,ctr,scale_match,note_density,pitch_entropy,pitch_range,ngram_3_overlap,ngram_4_overlap,ngram_5_overlap,contour_sim
BluesMarch_IV_Part-1,cmt,1,1,24,0.166667,0.458333,3.000000,2.792481,15.000000,0.000000,0.000000,0.000000,0.282007
BluesMarch_IV_Part-1,mingus,0,0,40,0.375000,0.625000,5.000000,3.252656,16.000000,0.027027,0.000000,0.000000,0.064529
BluesMarch_IV_Part-1,mingus,1,0,36,0.416667,0.638889,4.500000,3.206841,21.000000,0.000000,0.000000,0.000000,0.226429
BluesMarch_IV_Part-1,bebopnet,0,0,44,0.363636,0.568182,5.500000,3.055103,15.000000,0.076923,0.000000,0.000000,-0.010941
BluesMarch_IV_Part-1,bebopnet,0,1,69,0.304348,0.536232,8.625000,3.232473,19.000000,0.000000,0.000000,0.000000,0.240852
BluesMarch_IV_Part-1,bebopnet,1,0,56,0.267857,0.464286,7.000000,3.408788,15.000000,0.105263,0.052632,0.000000,0.261649
BluesMarch_IV_Part-1,bebopnet,1,1,105,0.323810,0.609524,13.125000,3.437205,23.000000,0.010204,0.000000,0.000000,0.314424
Boogie Stop Shuffle_I,cmt,0,0,49,0.183673,0.653061,6.125000,2.504516,8.000000,0.000000,0.000000,0.000000,0.248622
Boogie Stop Shuffle_I,cmt,0,1,29,0.689655,0.862069,3.625000,2.625945,10.000000,0.040000,0.000000,0.000000,0.163479
Boogie Stop Shuffle_I,cmt,0,2,21,0.619048,0.857143,2.625000,2.135933,5.000000,0.058824,0.000000,0.000000,0.476602
Boogie Stop Shuffle_I,cmt,0,3,30,0.733333,0.800000,3.750000,2.387430,13.000000,0.000000,0.000000,0.000000,0.346818
Boogie Stop Shuffle_I,cmt,0,4,40,0.675000,0.875000,5.000000,2.520723,15.000000,0.000000,0.000000,0.000000,0.212381
Boogie Stop Shuffle_I,cmt,0,5,34,0.676471,0.970588,4.250000,2.387394,13.000000,0.000000,0.000000,0.000000,0.568222
Boogie Stop Shuffle_I,cmt,0,6,47,0.765957,0.957447,5.875000,2.558660,14.000000,0.000000,0.000000,0.000000,0.415096
Boogie Stop Shuffle_I,cmt,1,0,37,0.216216,0.459459,4.625000,3.134564,13.000000,0.030303,0.000000,0.000000,0.417695
Boogie Stop Shuffle_I,cmt,1,1,19,0.736842,0.947368,2.375000,2.610064,13.000000,0.133333,0.000000,0.000000,0.232432
Boogie Stop Shuffle_I,cmt,1,2,10,0.600000,0.900000,1.250000,2.170951,5.000000,0.000000,0.000000,0.000000,-0.555330
